date,dsa_count,news_count,sentiment_mean,sentiment_min,sentiment_max,sentiment_std,sentiment_neg_mean,sentiment_pos_mean,negative_news_pct,positive_news_pct
2025-02-23,3565307,25,-0.190848,-0.9618,0.6597,0.5477185365641737,0.11356,0.04596,0.64,0.28
2025-02-24,3673639,25,-0.205604,-0.9698,0.9601,0.6040107677715688,0.12924,0.060759999999999995,0.56,0.4
2025-02-25,3729076,25,0.158728,-0.7351,0.8126,0.4602527023451356,0.037720000000000004,0.07632,0.36,0.44
2025-02-26,3707295,25,0.019116,-0.9246,0.9042,0.6027651878998986,0.08460000000000001,0.07092000000000001,0.36,0.48
2025-02-27,3795703,25,-0.055956,-0.9325,0.7506,0.4908054955519549,0.06380000000000001,0.04024,0.32,0.32
2025-02-28,3592837,25,-0.050616,-0.9601,0.9601,0.5279947209433064,0.08544,0.08824,0.48,0.32
2025-03-01,3610309,25,0.17298,-0.765,0.9565,0.5221271423705149,0.05335999999999999,0.10379999999999999,0.32,0.48
2025-03-02,3643275,25,0.16606400000000002,-0.6369,0.9132,0.44303310113805267,0.04164,0.0858,0.32,0.52
2025-03-03,3703717,25,-0.07239599999999999,-0.8979,0.8906,0.49322338588513825,0.08088000000000001,0.07272,0.44,0.32
2025-03-04,3794408,25,-0.091508,-0.9451,0.7506,0.465476589245904,0.07196,0.048119999999999996,0.52,0.28
2025-03-05,3670742,25,-0.09584399999999998,-0.9477,0.9201,0.5745200125878993,0.09648,0.06875999999999999,0.44,0.36
2025-03-06,3410356,25,-0.136444,-0.926,0.91,0.5885670280129529,0.09552,0.06488000000000001,0.52,0.36
2025-03-07,3440709,25,-0.17794399999999996,-0.9674,0.8555,0.6621391636687864,0.13388,0.066,0.52,0.4
2025-03-08,3417084,25,-0.06595600000000001,-0.9652,0.875,0.507918524237894,0.08144,0.07892,0.48,0.44
2025-03-09,3540291,25,-0.1335,-0.8316,0.8316,0.5574665981025231,0.09348000000000001,0.0508,0.56,0.32
2025-03-10,3811267,25,-0.16743199999999997,-0.9468,0.8225,0.5427981877051544,0.09627999999999998,0.047400000000000005,0.52,0.24
2025-03-11,3959561,25,-0.251604,-0.9529,0.9403,0.5438733907666379,0.13011999999999999,0.07336000000000001,0.68,0.28
2025-03-12,3930416,25,-0.05066399999999999,-0.9337,0.6808,0.43071564344007757,0.08776,0.06776,0.44,0.44
2025-03-13,3899267,25,-0.19220800000000002,-0.8625,0.802,0.47341500434185646,0.08752,0.04292,0.56,0.16
2025-03-14,3767169,25,-0.009751999999999983,-0.8519,0.9042,0.5282720345579538,0.08264,0.08991999999999999,0.44,0.44
2025-03-15,3496563,25,-0.191296,-0.9118,0.8442,0.5842789145468112,0.11132,0.05532,0.56,0.28
2025-03-16,3572449,25,0.08434000000000001,-0.9042,0.9628,0.5352566920646579,0.06844,0.11071999999999999,0.36,0.48
2025-03-17,3775493,25,0.06402399999999998,-0.946,0.9774,0.57834852349081,0.07768000000000001,0.09783999999999998,0.36,0.52
2025-03-18,3793054,25,-0.07794,-0.9741,0.8442,0.5948897968531651,0.10244,0.07196,0.48,0.4
2025-03-19,3811907,25,-0.176176,-0.8807,0.6908,0.48824706965224074,0.0978,0.05408,0.6,0.28
2025-03-20,3829032,25,-0.46366,-0.9732,0.8338,0.454553623679319,0.16688,0.038919999999999996,0.8,0.12
2025-03-21,3519830,25,-0.143092,-0.9442,0.8519,0.6082306956542065,0.1264,0.08904,0.52,0.4
2025-03-22,3728991,25,-0.293848,-0.9666,0.8126,0.5909291619949044,0.14632,0.05376,0.56,0.2
2025-03-23,3512647,25,-0.115428,-0.9313,0.8271,0.443432770570692,0.0912,0.06564,0.48,0.28
2025-03-24,3614609,25,-0.24295999999999998,-0.936,0.9517,0.5550710686029313,0.12187999999999999,0.08192,0.6,0.28
2025-03-25,3722511,25,-0.17049599999999998,-0.9588,0.9666,0.6206861651301727,0.13148,0.09336000000000003,0.56,0.4
2025-03-26,3672689,25,-0.22688,-0.9442,0.7717,0.5232776463790518,0.11616,0.05392,0.52,0.2
2025-03-27,3736543,25,-0.16706800000000002,-0.9833,0.9136,0.5724059774111377,0.12404,0.07468,0.52,0.32
2025-03-28,3805644,25,-0.20678000000000002,-0.9485,0.9229,0.5450811550585839,0.11272000000000001,0.06484,0.6,0.24
2025-03-29,3503312,25,-0.013583999999999987,-0.9325,0.8984,0.5832628139561102,0.09112,0.08872,0.4,0.48
2025-03-30,3602594,25,-0.004916000000000005,-0.9432,0.7717,0.4838214097619079,0.07928,0.06888,0.4,0.44
2025-03-31,3741254,25,0.13252799999999998,-0.9552,0.9628,0.5417971410186657,0.055,0.09444,0.36,0.56
2025-04-01,3716763,25,0.064376,-0.8316,0.93,0.6207678685499113,0.07448,0.11456,0.36,0.44
2025-04-02,3543824,25,-0.214056,-0.9661,0.7269,0.5241954315558273,0.10916000000000001,0.04604,0.6,0.24
2025-04-03,3288170,25,-0.17282,-0.9538,0.8807,0.5821241826277276,0.10880000000000001,0.05448,0.52,0.36
2025-04-04,3112932,25,-0.147392,-0.927,0.9393,0.6131481980206743,0.09996000000000001,0.06524,0.48,0.28
2025-04-05,2954742,25,0.002556000000000007,-0.9001,0.9565,0.5869035737359246,0.08295999999999999,0.08484,0.48,0.36
2025-04-06,3326671,25,-0.09252,-0.9673,0.9531,0.6189055378650283,0.10120000000000001,0.08512,0.48,0.36
2025-04-07,3284203,25,0.06696,-0.763,0.8807,0.5082543166565336,0.0718,0.09051999999999999,0.36,0.36
2025-04-08,3272990,25,-0.18061999999999998,-0.9153,0.928,0.5985834504895704,0.10020000000000001,0.06348000000000001,0.52,0.32
2025-04-09,3509410,25,-0.114236,-0.91,0.8957,0.554180764646338,0.09416000000000001,0.0718,0.44,0.32
2025-04-10,3385868,25,-0.16255599999999998,-0.9801,0.6808,0.5558532332045933,0.12636,0.06024,0.52,0.36
2025-04-11,3278309,25,-0.27834400000000004,-0.9666,0.8883,0.5497776976778886,0.13048,0.06684,0.64,0.32
2025-04-12,3176469,25,0.008167999999999993,-0.8834,0.8834,0.5435653688159318,0.09304,0.09160000000000001,0.32,0.48
2025-04-13,3375175,25,0.159384,-0.9571,0.9186,0.6373865067162938,0.0758,0.11539999999999999,0.32,0.56
2025-04-14,3655494,25,-0.111668,-0.9846,0.802,0.5551868966177066,0.12572,0.08148,0.44,0.4
2025-04-15,3669252,25,-0.10374799999999999,-0.9349,0.875,0.531688858728486,0.11811999999999999,0.07452,0.48,0.44
2025-04-16,3742275,25,-0.276808,-0.8658,0.6597,0.47071392324425665,0.11008,0.036520000000000004,0.6,0.2
2025-04-17,3616711,25,0.04023999999999999,-0.9349,0.743,0.49797288681212354,0.06436,0.0634,0.32,0.44
2025-04-18,3606081,25,-0.134696,-0.8442,0.8074,0.508238208307876,0.07268000000000001,0.057,0.44,0.32
2025-04-19,3535698,25,-0.14356800000000003,-0.91,0.6808,0.5034569484831846,0.09288,0.05512,0.56,0.28
2025-04-20,3574021,25,-0.135296,-0.8176,0.9001,0.4577945115267329,0.08460000000000001,0.062119999999999995,0.56,0.24
2025-04-21,3592255,25,-0.046384,-0.9558,0.8126,0.5975221727634883,0.10264,0.08824,0.48,0.48
2025-04-22,3677122,25,0.129528,-0.967,0.872,0.5668224155906327,0.057440000000000005,0.07351999999999999,0.24,0.52
2025-04-23,3733309,25,-0.016040000000000002,-0.8934,0.7003,0.5301730260961981,0.09803999999999999,0.07908,0.44,0.4
2025-04-24,3597377,25,0.13968,-0.9839,0.9403,0.6720154516080713,0.09799999999999999,0.11808,0.36,0.56
